작업 호기,제품명,실제 기계 밀도,RPM,생산량(YD)
6,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
7,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
8,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
9,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
10,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
11,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
12,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
13,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
15,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
5,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,37
6,IT 0708,210.0,607.0,45
